Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
brg180;175;119370;242070;206650;1016740;1950;;;;;;;;
brg180;176;180760;278630;197740;1060310;1950;;;;;;;;
brg180;177;110280;270040;199820;1036700;1950;;;;;;;;
brg180;178;137750;220270;200180;1046680;1950;;;;;;;;
brg180;179;186280;242010;197710;900990;1950;;;;;;;;
dantzig42;0;948;2739;981;2417;699;;;;;;;;
dantzig42;1;1104;2401;947;1754;699;;;;;;;;
dantzig42;2;953;2145;984;1542;699;;;;;;;;
dantzig42;3;985;2334;978;1517;699;;;;;;;;
dantzig42;4;1025;2034;916;1953;699;;;;;;;;
dantzig42;5;1013;2500;978;1597;699;;;;;;;;
dantzig42;6;978;2329;915;1632;699;;;;;;;;
dantzig42;7;993;2249;915;1648;699;;;;;;;;
dantzig42;8;1154;2390;947;1754;699;;;;;;;;
dantzig42;9;1130;2610;948;1744;699;;;;;;;;
dantzig42;10;1107;2763;942;2479;699;;;;;;;;
dantzig42;11;974;2007;971;2419;699;;;;;;;;
dantzig42;12;1076;2091;943;1881;699;;;;;;;;
dantzig42;13;1033;2015;971;2102;699;;;;;;;;
dantzig42;14;1035;2401;951;2614;699;;;;;;;;
dantzig42;15;1091;2469;910;1641;699;;;;;;;;
dantzig42;16;1039;2359;955;2623;699;;;;;;;;
dantzig42;17;1018;2537;955;2615;699;;;;;;;;
dantzig42;18;995;2196;969;2615;699;;;;;;;;
dantzig42;19;986;2205;970;2584;699;;;;;;;;
dantzig42;20;1037;2176;971;1857;699;;;;;;;;
dantzig42;21;947;2137;990;2079;699;;;;;;;;
dantzig42;22;938;2441;959;2060;699;;;;;;;;
dantzig42;23;1004;2309;910;1848;699;;;;;;;;
dantzig42;24;1007;2703;959;1829;699;;;;;;;;
dantzig42;25;964;2553;1008;1528;699;;;;;;;;
dantzig42;26;1111;2756;1031;1528;699;;;;;;;;
dantzig42;27;1043;2316;1031;1588;699;;;;;;;;
dantzig42;28;1076;1830;979;1854;699;;;;;;;;
dantzig42;29;1079;2091;1032;1802;699;;;;;;;;
dantzig42;30;1038;2101;995;1571;699;;;;;;;;
dantzig42;31;1030;1927;929;1897;699;;;;;;;;
dantzig42;32;1097;2299;1032;1484;699;;;;;;;;
dantzig42;33;1058;2512;958;1442;699;;;;;;;;
dantzig42;34;1006;2249;958;1769;699;;;;;;;;
dantzig42;35;1025;2200;938;1793;699;;;;;;;;
dantzig42;36;1060;2762;951;1803;699;;;;;;;;
dantzig42;37;1018;2120;979;1860;699;;;;;;;;
dantzig42;38;920;2153;979;2449;699;;;;;;;;
dantzig42;39;1092;2754;943;1944;699;;;;;;;;
dantzig42;40;928;2636;984;2568;699;;;;;;;;
dantzig42;41;884;2575;980;2413;699;;;;;;;;
